Gene	GO
SMED3_DN16090_c0_g1	GO:0032543,GO:0005739,GO:0003735
SMED3_DN16090_c1_g1	GO:0000278,GO:0000226,GO:0005856,GO:0005737,GO:0005874,GO:0005200,GO:0005525
SMED3_DN160_c0_g1	GO:1902600,GO:0030007,GO:0014070,GO:0006883,GO:0036376,GO:0006885,GO:0010038,GO:0010248,GO:1990573,GO:0005829,GO:0016323,GO:0015629,GO:0005886,GO:0016324,GO:0016021,GO:0005524,GO:0046872,GO:0005515,GO:0016887,GO:0005391,GO:0008900
SMED3_DN160_c0_g2	GO:1902600,GO:0030007,GO:0014070,GO:0006883,GO:0036376,GO:0006885,GO:0010038,GO:0010248,GO:1990573,GO:0005829,GO:0016323,GO:0015629,GO:0005886,GO:0016324,GO:0016021,GO:0005524,GO:0046872,GO:0005515,GO:0016887,GO:0005391,GO:0008900
SMED3_DN16116_c0_g2	GO:0009408,GO:0042026,GO:0008340,GO:0019538,GO:0009792,GO:0005829,GO:0044183,GO:0051082
SMED3_DN1612_c0_g3	GO:0006412,GO:0005840,GO:0003735
SMED3_DN1613_c0_g1	GO:0019285,GO:0016020,GO:0009507,GO:0016829,GO:0008812,GO:0050660
SMED3_DN16148_c0_g1	GO:0045292,GO:0071013,GO:0005634,GO:0071004,GO:0005686,GO:0003723
SMED3_DN16158_c1_g1	GO:0008655,GO:0006218,GO:0006152,GO:0009117,GO:0005829,GO:0050263,GO:0008477,GO:0046872
SMED3_DN1615_c0_g1	GO:0046856,GO:0031902,GO:0005886,GO:0005764,GO:0005765,GO:0005768,GO:0030670,GO:0016021,GO:0034597
SMED3_DN1616_c0_g1	GO:0045773,GO:0048812,GO:0030833,GO:0016477,GO:0022416,GO:0061003,GO:0098974,GO:0072553,GO:0045887,GO:0005884,GO:0030426,GO:0030027,GO:0061177,GO:0030424,GO:0030425,GO:0045211,GO:0030864,GO:0005886,GO:0005938,GO:0014069,GO:0031594,GO:0061176,GO:0051015,GO:0005546,GO:0001786,GO:0005547
SMED3_DN1617_c0_g2	GO:1903265,GO:0030512,GO:0043154,GO:0050821,GO:0051092,GO:0006952,GO:0070370,GO:0051131,GO:0051085,GO:0032757,GO:0090084,GO:0033033,GO:0030308,GO:0031397,GO:0006402,GO:0045906,GO:0097201,GO:0001916,GO:1902236,GO:0016192,GO:0034620,GO:1901029,GO:0008285,GO:1902380,GO:0042026,GO:0045648,GO:0007339,GO:1901673,GO:0032436,GO:0090063,GO:0033120,GO:0046034,GO:2001240,GO:0070434,GO:0009314,GO:0006281,GO:0000723,GO:0002931,GO:0007041,GO:0030182,GO:0045471,GO:0045666,GO:0009612,GO:0005813,GO:0005634,GO:0005829,GO:0005856,GO:0016607,GO:0045121,GO:0016235,GO:0048471,GO:0044297,GO:0005739,GO:0016323,GO:1990904,GO:0005737,GO:0005814,GO:0005886,GO:0016324,GO:0002199,GO:0005576,GO:0097718,GO:0031625,GO:0031249,GO:0031072,GO:0005524,GO:0042826,GO:0002020,GO:0047485,GO:0051787,GO:0140545,GO:0016887,GO:0003714,GO:0001664,GO:0051082,GO:0140662,GO:0051059,GO:0055131
SMED3_DN1618_c0_g1	GO:0006508,GO:0005576,GO:0004252
SMED3_DN1619_c0_g1	GO:0006412,GO:0042254,GO:0005840,GO:0022625,GO:0003735
SMED3_DN16208_c0_g1	GO:0016485,GO:0005886,GO:0016021,GO:0004222,GO:0046872
SMED3_DN16215_c0_g1	GO:0043248,GO:0006511,GO:0010950,GO:0005634,GO:0008541,GO:0005737,GO:0000502,GO:0070628,GO:0061133,GO:1990381,GO:0043130
SMED3_DN1625_c0_g2	GO:0006508,GO:1900195,GO:0043171,GO:0046662,GO:0051661,GO:1990947,GO:0048477,GO:0030590,GO:1903538,GO:0030154,GO:0051321,GO:0009792,GO:0008595,GO:0005856,GO:0005938,GO:0000793,GO:0097431,GO:0042277,GO:0008270,GO:0070006
SMED3_DN1627_c0_g1	GO:0006508,GO:0005576,GO:0004222,GO:0008270
SMED3_DN16290_c1_g1	GO:0042759,GO:0019433,GO:0008340,GO:0016239,GO:0005737,GO:0005764,GO:0043202,GO:0004806
SMED3_DN162_c0_g1	GO:0006897,GO:0045332,GO:0060101,GO:0060100,GO:0007040,GO:0005769,GO:0005770,GO:0016323,GO:0005887,GO:0055038,GO:0005737,GO:0055037,GO:0005886,GO:0005802,GO:0005794,GO:0016324,GO:0031901,GO:0090556,GO:0005524,GO:0005515,GO:0016887,GO:0000287
SMED3_DN1630_c0_g1	GO:0006357,GO:0031047,GO:0006974,GO:0048024,GO:0009792,GO:0005634,GO:0005737,GO:0005515,GO:0003729
SMED3_DN16319_c0_g1	GO:0006897,GO:0006895,GO:0042147,GO:0099638,GO:0000147,GO:0030125,GO:0005829,GO:0005794,GO:0005886,GO:0005802,GO:0005768,GO:0030479,GO:0005546,GO:0030276
SMED3_DN1631_c0_g1	GO:0000920,GO:0043328,GO:0005634,GO:0005829,GO:0005768,GO:0010008,GO:0005737,GO:0000814,GO:0042803,GO:0005198
SMED3_DN1632_c0_g1	GO:0018105,GO:0043408,GO:0051262,GO:0055001,GO:0008340,GO:0035556,GO:0005737,GO:0004674,GO:0004712,GO:0005524,GO:0005515,GO:0106310
SMED3_DN1633_c0_g1	GO:0042274,GO:0042254,GO:0007419,GO:0042273,GO:0005634,GO:0005730,GO:0003677,GO:0003723
SMED3_DN1634_c0_g1	GO:0046835,GO:0019303,GO:0005634,GO:0020015,GO:0005737,GO:0005524,GO:0004747,GO:0046872
SMED3_DN1636_c0_g2	GO:0008380,GO:0006397,GO:0005634,GO:0003723
SMED3_DN1636_c1_g1	GO:0033563,GO:0040011,GO:0005634,GO:0003729,GO:0005515,GO:0036002,GO:1990247
SMED3_DN1638_c1_g2	GO:0006470,GO:0005856,GO:0005737,GO:0016529,GO:0008092,GO:0004725
SMED3_DN16399_c0_g1	GO:0007411,GO:0070593,GO:0007156,GO:0031225,GO:0045202,GO:0005886,GO:0030424,GO:0098632
SMED3_DN1639_c1_g1	GO:0000278,GO:0098863,GO:0000226,GO:0000280,GO:0005856,GO:0005634,GO:0005819,GO:0005737,GO:0000235,GO:0005200,GO:0005515,GO:0005525
SMED3_DN163_c0_g1	GO:0010499,GO:0043161,GO:0019774,GO:0005829,GO:0005634,GO:0000502,GO:0005737,GO:0005839,GO:0008233,GO:0005515
SMED3_DN1640_c0_g1	GO:0018108,GO:0045138,GO:0007169,GO:0033674,GO:0043235,GO:0005887,GO:0005886,GO:0004714,GO:0004712,GO:0005524
SMED3_DN16423_c0_g1	GO:0045463,GO:0019094,GO:0043065,GO:0032456,GO:0001751,GO:0009798,GO:0046621,GO:0072659,GO:0007283,GO:0035332,GO:0045464,GO:0007267,GO:0051307,GO:0046669,GO:0001934,GO:0022409,GO:0001558,GO:0001745,GO:0010669,GO:0060253,GO:0006897,GO:0007291,GO:0035329,GO:0007112,GO:0005856,GO:0120219,GO:0106037,GO:0036375,GO:0045169,GO:0005912,GO:0071944,GO:0005886,GO:0098592,GO:0016006,GO:0016324,GO:0045177,GO:0003779,GO:0005178,GO:0042802
SMED3_DN16436_c0_g1	GO:0006508,GO:0045121,GO:0008239,GO:0008236
SMED3_DN1643_c0_g1	GO:0034341,GO:0034612,GO:0043123,GO:0043065,GO:0070842,GO:0006511,GO:1901990,GO:0043011,GO:0016567,GO:0001650,GO:0005634,GO:0005654,GO:0016235,GO:0005737,GO:0070628,GO:0005515
SMED3_DN1643_c0_g2	GO:0034341,GO:0034612,GO:0043123,GO:0043065,GO:0070842,GO:0006511,GO:1901990,GO:0043011,GO:0016567,GO:0001650,GO:0005634,GO:0005654,GO:0016235,GO:0005737,GO:0070628,GO:0005515
SMED3_DN16457_c0_g1	GO:0042149,GO:0046827,GO:0007189,GO:2000480,GO:0110034,GO:0005952,GO:0005829,GO:0005737,GO:0005634,GO:0004862,GO:0030552,GO:0034236
SMED3_DN1646_c0_g1	GO:0090149,GO:0000266,GO:0061564,GO:0005741,GO:0043005,GO:0005739,GO:0016021,GO:0015234
SMED3_DN1647_c0_g1	GO:0009834,GO:0007264,GO:0007015,GO:0007163,GO:0030865,GO:0032956,GO:0008360,GO:0005856,GO:0005634,GO:0031410,GO:0042995,GO:0005886,GO:0005938,GO:0019901,GO:0005525,GO:0003924
SMED3_DN16489_c0_g1	GO:0030317,GO:0005762,GO:0005763,GO:0005739,GO:0005840,GO:0005743,GO:0005886,GO:0003723,GO:0003735
SMED3_DN1652_c0_g1	GO:0007157,GO:0007229,GO:0007160,GO:0033627,GO:0001555,GO:0009897,GO:0016020,GO:0008305,GO:0016021,GO:0005178,GO:0046982
SMED3_DN16548_c0_g2	GO:0051457,GO:0031146,GO:0035518,GO:1904668,GO:0070936,GO:0005634,GO:0005829,GO:0031467,GO:0005737,GO:0019005,GO:0031519,GO:0005813,GO:0005654,GO:0008013,GO:1990756,GO:0097602,GO:1990444
SMED3_DN1654_c0_g2	GO:0050790,GO:0030433,GO:0005811,GO:0030176,GO:0005783,GO:0000839,GO:0005789,GO:0097027,GO:0016746,GO:0043130
SMED3_DN1656_c0_g2	GO:0045292,GO:0071013,GO:0005634,GO:0005829,GO:0005737,GO:1990269,GO:0003723,GO:0003697,GO:0000405
SMED3_DN16644_c0_g1	GO:0042744,GO:0019430,GO:0030101,GO:0045454,GO:0001895,GO:0034101,GO:0042267,GO:1901222,GO:0008283,GO:0001501,GO:0032872,GO:0000302,GO:0005634,GO:0005829,GO:0042470,GO:0005615,GO:0005737,GO:0070062,GO:0045296,GO:0008379,GO:0003723,GO:0042802
SMED3_DN1666_c0_g3	GO:0009994,GO:1990399,GO:0050821,GO:0007548,GO:0007549,GO:0007446,GO:0030237,GO:0007131,GO:0000381,GO:0048025,GO:2000035,GO:0018993,GO:0000380,GO:0048142,GO:0048477,GO:0033120,GO:0007541,GO:0045947,GO:0045880,GO:0005634,GO:0005829,GO:0005737,GO:1990124,GO:0010494,GO:0003730,GO:0048027,GO:0036002,GO:0008266,GO:0008143,GO:0005515,GO:0000900
SMED3_DN16689_c0_g1	GO:0007155,GO:0030198,GO:0005576,GO:0005581,GO:0062023,GO:0005515,GO:0030020
SMED3_DN166_c0_g1	GO:0016191,GO:0051659,GO:0045214,GO:0098793,GO:0097433,GO:0005925,GO:0005912,GO:0005737,GO:0098978,GO:0005886,GO:0005515
SMED3_DN16704_c1_g1	GO:0006826,GO:0006879,GO:0005737,GO:0004322,GO:0008199
SMED3_DN1670_c0_g1	GO:0090305,GO:0006281,GO:0005634,GO:0035861,GO:0005739,GO:0005737,GO:0004518
SMED3_DN1675_c0_g1	GO:0009117,GO:0005737,GO:0000166,GO:0106411,GO:0000287
SMED3_DN16795_c0_g1	GO:0006206,GO:0006213,GO:0005829,GO:0004645,GO:0009032,GO:0016154
SMED3_DN1679_c0_g1	GO:0007283,GO:0000398,GO:0002119,GO:0007506,GO:0040009,GO:0008406,GO:0030154,GO:0005634,GO:0016607,GO:0003729
SMED3_DN1680_c0_g1	GO:0008203,GO:0006706,GO:0016020,GO:0016021,GO:0016229
SMED3_DN16814_c0_g1	GO:0006888,GO:0007030,GO:0005634,GO:0005829,GO:0032153,GO:0005794,GO:0000139,GO:0051286,GO:0005515
SMED3_DN16835_c0_g1	GO:0071421,GO:0030026,GO:0071577,GO:0005770,GO:0005783,GO:0005794,GO:0005802,GO:0000139,GO:0016021,GO:0005385,GO:0005384
SMED3_DN1683_c0_g1	GO:0033615,GO:0016020,GO:0005783,GO:0016021,GO:0030234,GO:0004129
SMED3_DN16845_c0_g2	GO:0110011,GO:0005737,GO:0005829,GO:0031210,GO:0035091
SMED3_DN1684_c0_g3	GO:0006486,GO:0005794,GO:0000139,GO:0016021,GO:0030246,GO:0016757,GO:0046872
SMED3_DN1686_c1_g2	GO:1902600,GO:0034551,GO:0006122,GO:0005750,GO:0005739,GO:0070469,GO:0005743,GO:0005751,GO:0016021,GO:0051537,GO:0008121,GO:0046872
SMED3_DN16883_c0_g2	GO:0009617,GO:0045087,GO:0034605,GO:0034644,GO:0005615,GO:0005576,GO:0045735,GO:0004857
SMED3_DN1688_c0_g1	GO:0031152,GO:0048870,GO:0005829,GO:0005783,GO:0031012,GO:0005509
SMED3_DN16918_c0_g1	GO:0009793,GO:0009409,GO:0010154,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0003677,GO:0003729,GO:0008270
SMED3_DN1692_c0_g3	GO:0002181,GO:0022627,GO:0005840,GO:0003735
SMED3_DN16934_c0_g1	GO:0006072,GO:0019563,GO:0005739,GO:0009331,GO:0052591,GO:0005509
SMED3_DN1693_c0_g1	GO:0019509,GO:0019284,GO:0005634,GO:0005737,GO:0003993,GO:0030946,GO:0046872
SMED3_DN16940_c2_g1	GO:0070233,GO:0010628,GO:0001580,GO:0006508,GO:0005615,GO:0005634,GO:0005576,GO:0019864,GO:0004190,GO:0042802
SMED3_DN16976_c0_g1	GO:0006412,GO:0005840,GO:0003735
SMED3_DN1697_c0_g2	GO:0042595,GO:0008306,GO:0002084,GO:0010008,GO:0031410,GO:0005737,GO:0005886,GO:0071683,GO:0008474
SMED3_DN1698_c0_g1	GO:0030433,GO:0000209,GO:0005634,GO:0005783,GO:0005789,GO:0016021,GO:0061631,GO:0005524
SMED3_DN16992_c0_g1	GO:0006412,GO:0001732,GO:0002183,GO:0005852,GO:0016282,GO:0033290,GO:0005737,GO:0003743,GO:0003723
SMED3_DN16995_c0_g1	GO:0060282,GO:0017148,GO:0040034,GO:0007276,GO:0045138,GO:0045944,GO:0009957,GO:0090727,GO:0110037,GO:0006402,GO:0045604,GO:0016567,GO:0005737,GO:0000932,GO:1990124,GO:0008270,GO:0004842,GO:0030371,GO:0035198,GO:0003729
SMED3_DN169_c0_g4	GO:0046496,GO:0005739,GO:0000166,GO:0052856,GO:0052857,GO:0046872
SMED3_DN16_c0_g2	GO:0006629,GO:0015031,GO:0016020,GO:0016021,GO:0030246
SMED3_DN17000_c0_g3	GO:0007186,GO:0050896,GO:0045202,GO:0005886,GO:0031683,GO:0005525,GO:0003924,GO:0046872
SMED3_DN17001_c0_g1	GO:0032543,GO:0005634,GO:0005829,GO:0003735
SMED3_DN17006_c0_g1	GO:0016567,GO:0005737,GO:0004842,GO:0046872
SMED3_DN17007_c0_g1	GO:0006542,GO:0019740,GO:0005737,GO:0016020,GO:0004356,GO:0046872,GO:0005524
SMED3_DN17018_c0_g1	GO:0042026,GO:0030433,GO:0051085,GO:0034620,GO:0046689,GO:0030968,GO:0005634,GO:0005811,GO:0005788,GO:0005783,GO:0005737,GO:0045335,GO:0034663,GO:0016020,GO:0005524,GO:0031072,GO:0051787,GO:0016887,GO:0051082,GO:0140662
SMED3_DN1702_c0_g1	GO:0009952,GO:0000245,GO:0000398,GO:0045944,GO:0035066,GO:0001825,GO:0045945,GO:0006338,GO:0045943,GO:0016363,GO:0005730,GO:0005634,GO:0110016,GO:0071005,GO:0071013,GO:0034693,GO:0000785,GO:0005686,GO:0016607,GO:0071004,GO:0005689,GO:0003682,GO:1990935,GO:0003729
SMED3_DN17033_c0_g1	GO:0097500,GO:0007606,GO:0042073,GO:1905515,GO:0060170,GO:0097543,GO:0005886,GO:0031528,GO:0097730,GO:0005525,GO:0003924
SMED3_DN1704_c0_g1	GO:0030855,GO:1900746,GO:1901379,GO:0010633,GO:0007160,GO:0050931,GO:0035646,GO:0002092,GO:0016477,GO:0048757,GO:0015031,GO:0045785,GO:0034613,GO:2001046,GO:0016020,GO:0016021,GO:0005515,GO:0044877
SMED3_DN17073_c0_g1	GO:0007264,GO:0050790,GO:0032099,GO:0005634,GO:0005576,GO:0005829,GO:0005635,GO:0005783,GO:0005793,GO:0005615,GO:0005794,GO:0005737,GO:0005886,GO:0070062,GO:0003677,GO:0001965,GO:0005085,GO:0005509
SMED3_DN17093_c2_g1	GO:0033540,GO:0042811,GO:0055088,GO:0005777,GO:0003997,GO:0005504,GO:0071949,GO:0005524
SMED3_DN17095_c0_g1	GO:0006718,GO:0005634,GO:0005829,GO:0005737,GO:0047886
SMED3_DN1709_c1_g2	GO:0006508,GO:0015629,GO:0005737,GO:0043025,GO:0004198,GO:0005509
SMED3_DN170_c0_g1	GO:0006777,GO:0005654,GO:0062023,GO:0005515
SMED3_DN17146_c0_g1	GO:0071277,GO:0005886,GO:0005544
SMED3_DN1714_c0_g1	GO:0006897,GO:0051321,GO:0030173,GO:0005737,GO:0032266,GO:0005515
SMED3_DN17155_c0_g1	GO:0008612,GO:0005634,GO:0005737,GO:0019135,GO:0046872
SMED3_DN1715_c0_g1	GO:0007165,GO:0030433,GO:0071818,GO:0031593,GO:0051787
SMED3_DN1716_c0_g2	GO:0010951,GO:0038063,GO:0008015,GO:0007155,GO:0072577,GO:0007605,GO:0016525,GO:1905563,GO:0006919,GO:0032836,GO:0009749,GO:0005604,GO:0005576,GO:0005587,GO:0005788,GO:0005783,GO:0005615,GO:0008191,GO:0030020,GO:0005178
SMED3_DN17206_c0_g1	GO:0016310,GO:0055129,GO:0005737,GO:0005739,GO:0004350,GO:0004349,GO:0005524
SMED3_DN1725_c0_g1	GO:1902948,GO:0060550,GO:0010835,GO:0060552,GO:0033141,GO:0032834,GO:0050796,GO:2000309,GO:0048143,GO:0050729,GO:0040008,GO:0097191,GO:0010634,GO:0034393,GO:0031334,GO:0010508,GO:1902004,GO:0071902,GO:0042531,GO:0042307,GO:0051607,GO:0051044,GO:0045892,GO:0032747,GO:0032700,GO:0032722,GO:0048662,GO:0006955,GO:0060559,GO:0051712,GO:0001774,GO:1904798,GO:0045672,GO:0060333,GO:0045429,GO:0032735,GO:0090312,GO:0006915,GO:0002281,GO:0030225,GO:0050769,GO:0060557,GO:1901216,GO:0032755,GO:0005615,GO:0005576,GO:0005125,GO:0005133
SMED3_DN1725_c1_g1	GO:0010955,GO:0030100,GO:0051224,GO:0032456,GO:0015031,GO:0034499,GO:0042177,GO:2000642,GO:0030904,GO:0005769,GO:0031901,GO:0032266,GO:0019899
SMED3_DN17263_c1_g2	GO:0009159,GO:0005634,GO:0005829,GO:0005737,GO:0002953,GO:0046872
SMED3_DN1726_c0_g3	GO:0016192,GO:0005886,GO:0016021,GO:0005484
SMED3_DN17276_c0_g1	GO:0006166,GO:0005737,GO:0000166,GO:0004422,GO:0046872
SMED3_DN1727_c0_g3	GO:1902603,GO:0006869,GO:0006839,GO:0001701,GO:1902616,GO:0005829,GO:0005739,GO:0005740,GO:0005743,GO:0016021,GO:0015227
SMED3_DN17301_c0_g1	GO:0015031,GO:2000786,GO:0005769,GO:0031901,GO:0005737,GO:0035091
SMED3_DN17315_c0_g1	GO:0006949,GO:0005886,GO:0016021,GO:0005515
SMED3_DN1735_c0_g1	GO:0007155,GO:0072659,GO:0045661,GO:0030139,GO:0005901,GO:0005886,GO:0005768,GO:0016600,GO:0035255,GO:0002020
SMED3_DN17360_c0_g2	GO:0006508,GO:0005615,GO:0005576,GO:0004181,GO:0008270
SMED3_DN1736_c0_g1	GO:0006886,GO:0034389,GO:0005794,GO:0012505,GO:0005525,GO:0003924
SMED3_DN17392_c3_g1	GO:0006729,GO:0030437,GO:0042764,GO:0005634,GO:0005829,GO:0031160,GO:0008124
SMED3_DN17412_c0_g1	GO:0042167,GO:0033212,GO:0005737,GO:0005506,GO:0020037,GO:0004392
SMED3_DN17438_c0_g1	GO:0050790,GO:0019762,GO:0080028,GO:0005634,GO:0005829,GO:0009506,GO:0030246,GO:0030234
SMED3_DN1745_c0_g1	GO:0003341,GO:0005930,GO:0030175,GO:0030286,GO:0045504
SMED3_DN17473_c0_g1	GO:0007416,GO:0006542,GO:0045213,GO:0006538,GO:0005737,GO:0004356,GO:0005524
SMED3_DN17478_c0_g1	GO:0050790,GO:0051497,GO:0007480,GO:0045887,GO:0007369,GO:0007370,GO:2001136,GO:0007266,GO:0005769,GO:0055037,GO:0005737,GO:0031267,GO:0005096
SMED3_DN1752_c0_g2	GO:0030435,GO:0005576,GO:0030246,GO:0016936
SMED3_DN1754_c0_g1	GO:1902802,GO:0007129,GO:0006397,GO:0005634,GO:0033620,GO:0000785,GO:0016604,GO:1990477,GO:0005515,GO:0003723
SMED3_DN17572_c0_g4	GO:0022900,GO:0030150,GO:0016020,GO:0016021,GO:0008137,GO:0008320
SMED3_DN17595_c0_g1	GO:0032543,GO:0006417,GO:0031047,GO:0005762,GO:0005739,GO:0005840,GO:0000166,GO:0003735
SMED3_DN1759_c0_g1	GO:0006457,GO:0030968,GO:0005788,GO:0005783,GO:0009986,GO:0003756
SMED3_DN17623_c0_g1	GO:0009408,GO:0002119,GO:0007005,GO:0006457,GO:0043066,GO:0009792,GO:0005739,GO:0051082,GO:0005524,GO:0046872,GO:0031072
SMED3_DN17649_c0_g1	GO:0031103,GO:0018108,GO:0038066,GO:0048691,GO:0007254,GO:0008582,GO:0005737,GO:0004674,GO:0008545,GO:0005524,GO:0004713,GO:0031435,GO:0106310
SMED3_DN1765_c1_g1	GO:0060298,GO:0006936,GO:0007015,GO:0007507,GO:0005884,GO:0051015
SMED3_DN17663_c0_g1	GO:0030388,GO:0006002,GO:0061621,GO:0005945,GO:0005737,GO:0003872,GO:0070095,GO:0046872,GO:0005524,GO:0016208,GO:0048029,GO:0042802
SMED3_DN17665_c0_g2	GO:0038063,GO:0007391,GO:0071711,GO:0048621,GO:0055013,GO:0035848,GO:0060729,GO:0005604,GO:0005576,GO:0005615,GO:0005587,GO:0005201,GO:0005515
SMED3_DN17665_c4_g1	GO:0038063,GO:0007391,GO:0071711,GO:0048621,GO:0055013,GO:0035848,GO:0060729,GO:0005604,GO:0005576,GO:0005615,GO:0005587,GO:0005201,GO:0005515
SMED3_DN1768_c0_g2	GO:0006146,GO:0043103,GO:0005634,GO:0005829,GO:0005737,GO:0004000,GO:0000034,GO:0008270
SMED3_DN1769_c0_g1	GO:1905941,GO:0031103,GO:0043410,GO:0006897,GO:0006508,GO:0031648,GO:0002164,GO:1903746,GO:0005615,GO:0016020,GO:0005576,GO:0005044,GO:0004252
SMED3_DN1773_c0_g2	GO:0006689,GO:0005975,GO:0030203,GO:0016020,GO:0016021,GO:0016787,GO:0046872
SMED3_DN17743_c0_g1	GO:1902600,GO:0000221,GO:0046961
SMED3_DN1775_c0_g1	GO:0090305,GO:0006309,GO:0006915,GO:0005634,GO:0005764,GO:0004531
SMED3_DN1778_c0_g1	GO:0030705,GO:1904491,GO:1905349,GO:0045724,GO:0031122,GO:1903861,GO:0003391,GO:1903566,GO:0050775,GO:0005794,GO:0008017,GO:0051959
SMED3_DN1778_c1_g1	GO:0043171,GO:0030163,GO:0120113,GO:0006508,GO:0005634,GO:0005829,GO:0000328,GO:0005771,GO:0005737,GO:0061957,GO:0004301,GO:0008270,GO:0070006
SMED3_DN177_c0_g1	GO:0031146,GO:0006974,GO:0016567,GO:0080008,GO:0031625,GO:0030674
SMED3_DN1780_c0_g1	GO:0046856,GO:0006909,GO:1901075,GO:0005829,GO:0045179,GO:0001891,GO:0042995,GO:0005886,GO:0016324,GO:0004438,GO:0005546,GO:0052629,GO:0005515
SMED3_DN17832_c0_g1	GO:0009408,GO:0006457,GO:0030433,GO:0030968,GO:0030176,GO:0005783,GO:0048471,GO:0031410,GO:0005737,GO:0005789,GO:0030246,GO:0051082,GO:0005509
SMED3_DN1783_c0_g1	GO:0006486,GO:0005634,GO:0005783,GO:0005789,GO:0016021,GO:0004579,GO:0046872
SMED3_DN17882_c0_g1	GO:0070682,GO:0005634,GO:0005829,GO:0032991,GO:0004674,GO:0004712,GO:0046872,GO:0005524,GO:0106310
SMED3_DN178_c0_g1	GO:0016579,GO:0006511,GO:0000082,GO:0005634,GO:0005829,GO:0005654,GO:0004197,GO:0004843
SMED3_DN17941_c0_g1	GO:0006412,GO:0006437,GO:0005737,GO:0004831,GO:0005524
SMED3_DN1796_c0_g1	GO:0006351,GO:0006336,GO:0035042,GO:0006355,GO:0035041,GO:0000417,GO:0001673,GO:0042585,GO:0031491
SMED3_DN1797_c1_g2	GO:0018108,GO:0045138,GO:0007169,GO:0033674,GO:0043235,GO:0005887,GO:0005886,GO:0004714,GO:0004712,GO:0005524
SMED3_DN17981_c0_g3	GO:0006470,GO:0005737,GO:0017018,GO:0046872
SMED3_DN17984_c0_g1	GO:0050808,GO:0030198,GO:0033563,GO:0005615,GO:0005576,GO:0030424,GO:0045202,GO:0004222,GO:0005102
SMED3_DN179_c5_g1	GO:0005975,GO:0009897,GO:0005576,GO:0030246
SMED3_DN17_c0_g1	GO:0031929,GO:0043555,GO:0005634,GO:0045335,GO:0005737,GO:0003723
SMED3_DN1804_c0_g2	GO:0006334,GO:0006335,GO:1990426,GO:0005634,GO:0005829,GO:0033186,GO:0043596,GO:0005737,GO:0005515
SMED3_DN1806_c0_g1	GO:0033353,GO:0006730,GO:0005829,GO:0004013
SMED3_DN18078_c0_g2	GO:0031440,GO:0000381,GO:0000398,GO:0001178,GO:0005634,GO:0016607,GO:0003723
SMED3_DN1807_c0_g1	GO:0010951,GO:0005615,GO:0005576,GO:0004867
SMED3_DN18131_c0_g1	GO:0051568,GO:0043966,GO:0043967,GO:0006338,GO:0045893,GO:0007049,GO:0045927,GO:0048188,GO:0005634,GO:0044665,GO:0044666,GO:0140672,GO:0003682,GO:0003713,GO:0005515
SMED3_DN1814_c0_g1	GO:0046600,GO:0005856,GO:0005634,GO:0005813,GO:0005874,GO:0005814,GO:0005737,GO:0008017
SMED3_DN1815_c0_g1	GO:1903818,GO:0030431,GO:0045187,GO:0032222,GO:0048511,GO:0031225,GO:0005886,GO:0034235
SMED3_DN1817_c2_g1	GO:0046491,GO:0005739,GO:0004493,GO:0046872
SMED3_DN1819_c0_g1	GO:0039503,GO:0030683,GO:0005576,GO:0042169
SMED3_DN1821_c0_g2	GO:0019953,GO:0007610,GO:0046692,GO:0005615,GO:0005576,GO:0005496
SMED3_DN18261_c4_g1	GO:0010121,GO:0055129,GO:0019544,GO:0006591,GO:0005737,GO:0005829,GO:0005759,GO:0005739,GO:0030170,GO:0004587,GO:0050155,GO:0042802
SMED3_DN18318_c0_g2	GO:0006334,GO:0008584,GO:0001649,GO:0001556,GO:0042692,GO:0008283,GO:0007283,GO:0007566,GO:0031509,GO:1902340,GO:0030307,GO:0035264,GO:0090230,GO:0031508,GO:0006997,GO:2000751,GO:0007286,GO:0007338,GO:0043987,GO:0006336,GO:0048477,GO:0007420,GO:0009725,GO:0032200,GO:0000786,GO:0005694,GO:0000785,GO:0005634,GO:0003677,GO:0030527,GO:0046982
SMED3_DN18438_c0_g2	GO:0060279,GO:0007626,GO:0030017,GO:0031672,GO:0005863,GO:0030016,GO:0005737,GO:0016459,GO:0051015,GO:0003774,GO:0005524
SMED3_DN1843_c0_g1	GO:0032259,GO:0005737,GO:0008119
SMED3_DN18462_c0_g1	GO:0007283,GO:0036158,GO:0003341,GO:0030154,GO:0007286,GO:0005930,GO:0005515
SMED3_DN1846_c0_g1	GO:0007405,GO:0016360,GO:0045035,GO:0061382,GO:0010629,GO:0009786,GO:0014019,GO:0061320,GO:0035883,GO:0051642,GO:0055059,GO:0045746,GO:0045807,GO:0007406,GO:0034613,GO:0008347,GO:0042694,GO:0035050,GO:0001920,GO:0005938,GO:0005634,GO:0045178,GO:0005112,GO:0005524
SMED3_DN18482_c0_g3	GO:0030239,GO:0007498,GO:0030016,GO:0016459,GO:0032982,GO:0005737,GO:0019901,GO:0008092,GO:0017124
SMED3_DN18495_c0_g1	GO:0031507,GO:0006511,GO:0035522,GO:0005737,GO:0003682,GO:0004843
SMED3_DN18509_c0_g1	GO:0006897,GO:0048613,GO:0007165,GO:2000370,GO:1901046,GO:1904703,GO:0032956,GO:0048471,GO:0016323,GO:0005737,GO:0055037,GO:0005911,GO:0005886,GO:0016324,GO:0005515
